dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.072287,11.972688,0.000625,0.062500,3.125000,156.250000,5.071718
0.020000,6.072208,11.972898,0.000848,0.011167,-2.566647,-284.582332,5.072016
0.020000,6.072051,11.973316,0.001295,0.022356,0.559436,156.304112,5.072612
0.020000,6.071966,11.973542,0.001537,0.012074,-0.514067,-53.675150,5.073508
0.020000,6.074986,11.965558,0.010073,0.426822,20.737389,1062.572838,5.074632
0.020000,6.078215,11.957053,0.019171,0.454871,1.402457,-966.746608,5.075835
0.020000,6.081452,11.948558,0.028261,0.454522,-0.017452,-70.995478,5.077043
0.020000,6.084700,11.940064,0.037355,0.454677,0.007716,1.258425,5.078257
0.020000,6.087956,11.931582,0.046440,0.454266,-0.020535,-1.412557,5.079475
0.020000,6.091219,11.923111,0.055519,0.453937,-0.016446,0.204447,5.080699
0.020000,6.094494,11.914640,0.064600,0.454065,0.006404,1.142520,5.081929
0.020000,6.097777,11.906182,0.073673,0.453657,-0.020422,-1.341328,5.083164
0.020000,6.101067,11.897733,0.082740,0.453328,-0.016442,0.199029,5.084405
0.020000,6.104369,11.889287,0.091809,0.453449,0.006079,1.126011,5.085651
0.020000,6.107678,11.880852,0.100870,0.453043,-0.020318,-1.319815,5.086903
0.020000,6.110995,11.872428,0.109924,0.452694,-0.017430,0.144411,5.088159
0.020000,6.114324,11.864005,0.118980,0.452829,0.006729,1.207929,5.089422
0.020000,6.117661,11.855594,0.128029,0.452425,-0.020222,-1.347538,5.090691
0.020000,6.121006,11.847195,0.137069,0.452037,-0.019399,0.041115,5.091964
0.020000,6.124362,11.838797,0.146113,0.452204,0.008346,1.387244,5.093244
0.020000,6.127726,11.830410,0.155149,0.451801,-0.020134,-1.423989,5.094530
0.020000,6.131098,11.822036,0.164177,0.451400,-0.020031,0.005145,5.095821
0.020000,6.134482,11.813663,0.173208,0.451526,0.006299,1.316506,5.097118
0.020000,6.137874,11.805301,0.182231,0.451171,-0.017747,-1.202268,5.098421
0.020000,6.141274,11.796952,0.191247,0.450772,-0.019955,-0.110440,5.099729
0.020000,6.144685,11.788606,0.200263,0.450809,0.001860,1.090774,5.101044
0.020000,6.148105,11.780269,0.209274,0.450535,-0.013700,-0.778016,5.102365
0.020000,6.151533,11.771945,0.218277,0.450138,-0.019889,-0.309414,5.103691
0.020000,6.154972,11.763626,0.227278,0.450067,-0.003524,0.818202,5.105023
0.020000,6.158420,11.755315,0.236276,0.449893,-0.008724,-0.259998,5.106362
0.020000,6.161877,11.747016,0.245266,0.449496,-0.019831,-0.555320,5.107706
0.020000,6.165343,11.738726,0.254252,0.449299,-0.009842,0.499445,5.109057
0.020000,6.168820,11.730441,0.263236,0.449242,-0.002832,0.350484,5.110414
0.020000,6.172305,11.722168,0.272213,0.448847,-0.019783,-0.847516,5.111777
0.020000,6.175798,11.713906,0.281184,0.448505,-0.017079,0.135194,5.113146
