dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.370187,11.708954,0.000625,0.062500,3.125000,156.250000,5.071718
0.020000,5.370187,11.708954,0.003125,0.187500,6.250000,156.250000,5.072016
0.020000,5.370187,11.708954,0.008125,0.312500,6.250000,0.000000,5.072612
0.020000,5.370339,11.708551,0.015625,0.437500,6.250000,0.000000,5.073508
0.020000,5.373658,11.699779,0.025000,0.500000,3.125000,-156.250000,5.074632
0.020000,5.377207,11.690430,0.035000,0.500000,0.000000,-156.250000,5.075835
0.020000,5.380767,11.681089,0.045000,0.500000,0.000000,0.000000,5.077043
0.020000,5.384340,11.671745,0.055000,0.500000,0.000000,0.000000,5.078257
0.020000,5.387923,11.662409,0.065000,0.500000,0.000000,0.000000,5.079475
0.020000,5.391517,11.653081,0.075000,0.500000,0.000000,0.000000,5.080699
0.020000,5.395124,11.643750,0.085000,0.500000,0.000000,0.000000,5.081929
0.020000,5.398742,11.634428,0.095000,0.500000,0.000000,0.000000,5.083164
0.020000,5.402370,11.625113,0.105000,0.500000,0.000000,0.000000,5.084405
0.020000,5.406012,11.615796,0.115000,0.500000,0.000000,0.000000,5.085651
0.020000,5.409664,11.606487,0.125000,0.500000,0.000000,0.000000,5.086903
0.020000,5.413327,11.597186,0.135000,0.500000,0.000000,0.000000,5.088159
0.020000,5.417004,11.587882,0.145000,0.500000,0.000000,0.000000,5.089422
0.020000,5.420691,11.578587,0.155000,0.500000,0.000000,0.000000,5.090691
0.020000,5.424389,11.569300,0.165000,0.500000,0.000000,0.000000,5.091964
0.020000,5.428102,11.560010,0.175000,0.500000,0.000000,0.000000,5.093244
0.020000,5.431825,11.550729,0.185000,0.500000,0.000000,0.000000,5.094530
0.020000,5.435558,11.541457,0.195000,0.500000,0.000000,0.000000,5.095821
0.020000,5.439307,11.532182,0.205000,0.500000,0.000000,0.000000,5.097118
0.020000,5.443066,11.522915,0.215000,0.500000,0.000000,0.000000,5.098421
0.020000,5.446836,11.513656,0.225000,0.500000,0.000000,0.000000,5.099729
0.020000,5.450620,11.504398,0.235000,0.500000,0.000000,0.000000,5.101044
0.020000,5.454416,11.495145,0.245000,0.500000,0.000000,0.000000,5.102365
0.020000,5.458223,11.485901,0.255000,0.500000,0.000000,0.000000,5.103691
0.020000,5.462044,11.476658,0.265000,0.500000,0.000000,0.000000,5.105023
0.020000,5.465877,11.467420,0.275000,0.500000,0.000000,0.000000,5.106362
0.020000,5.469721,11.458190,0.285000,0.500000,0.000000,0.000000,5.107706
0.020000,5.473578,11.448965,0.295000,0.500000,0.000000,0.000000,5.109057
0.020000,5.477448,11.439742,0.305000,0.500000,0.000000,0.000000,5.110414
0.020000,5.481330,11.430527,0.315000,0.500000,0.000000,0.000000,5.111777
