dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.668088,11.445219,0.000625,0.062500,3.125000,156.250000,5.071718
0.020000,4.668166,11.445009,0.000848,0.011167,-2.566647,-284.582332,5.072016
0.020000,4.668324,11.444591,0.001295,0.022356,0.559436,156.304112,5.072612
0.020000,4.668713,11.443560,0.002398,0.055106,1.637534,53.904895,5.073508
0.020000,4.672330,11.433999,0.012619,0.511089,22.799105,1058.078575,5.074632
0.020000,4.676199,11.423807,0.023521,0.545094,1.700251,-1054.942707,5.075835
0.020000,4.680081,11.413620,0.034423,0.545109,0.000790,-84.973054,5.077043
0.020000,4.683980,11.403425,0.045338,0.545732,0.031118,1.516413,5.078257
0.020000,4.687890,11.393236,0.056252,0.545679,-0.002650,-1.688426,5.079475
0.020000,4.691814,11.383051,0.067166,0.545726,0.002368,0.250900,5.080699
0.020000,4.695754,11.372860,0.078093,0.546326,0.029985,1.380878,5.081929
0.020000,4.699707,11.362674,0.089018,0.546283,-0.002150,-1.606773,5.083164
0.020000,4.703672,11.352492,0.099945,0.546338,0.002752,0.245122,5.084405
0.020000,4.707655,11.342304,0.110884,0.546939,0.030043,1.364524,5.085651
0.020000,4.711650,11.332122,0.121822,0.546906,-0.001651,-1.584673,5.086903
0.020000,4.715658,11.321944,0.132761,0.546945,0.001946,0.179858,5.088159
0.020000,4.719683,11.311759,0.143712,0.547570,0.031287,1.467060,5.089422
0.020000,4.723721,11.301580,0.154663,0.547547,-0.001152,-1.621984,5.090691
0.020000,4.727772,11.291406,0.165614,0.547546,-0.000047,0.055282,5.091964
0.020000,4.731842,11.281224,0.176579,0.548221,0.033716,1.688151,5.093244
0.020000,4.735924,11.271048,0.187543,0.548208,-0.000654,-1.718545,5.094530
0.020000,4.740019,11.260878,0.198507,0.548199,-0.000417,0.011864,5.095821
0.020000,4.744132,11.250701,0.209483,0.548834,0.031715,1.606594,5.097118
0.020000,4.748258,11.240528,0.220461,0.548886,0.002648,-1.453348,5.098421
0.020000,4.752398,11.230361,0.231439,0.548888,0.000080,-0.128397,5.099729
0.020000,4.756556,11.220190,0.242427,0.549424,0.026796,1.335801,5.101044
0.020000,4.760728,11.210020,0.253419,0.549584,0.007995,-0.940028,5.102365
0.020000,4.764913,11.199857,0.264411,0.549595,0.000576,-0.370987,5.103691
0.020000,4.769115,11.189691,0.275411,0.550009,0.020702,1.006331,5.105023
0.020000,4.773333,11.179525,0.286417,0.550300,0.014514,-0.309393,5.106362
0.020000,4.777565,11.169365,0.297424,0.550321,0.001070,-0.672223,5.107706
0.020000,4.781812,11.159205,0.308435,0.550590,0.013439,0.618470,5.109057
0.020000,4.786077,11.149043,0.319456,0.551034,0.022199,0.438002,5.110414
0.020000,4.790356,11.138886,0.330477,0.551065,0.001563,-1.031833,5.111777
0.020000,4.794649,11.128733,0.341501,0.551165,0.005013,0.172526,5.113146
0.020000,4.798962,11.118575,0.352536,0.551786,0.031044,1.301547,5.114522
0.020000,4.803288,11.108422,0.363573,0.551827,0.002054,-1.449518,5.115904
0.020000,4.807629,11.098274,0.374610,0.551873,0.002292,0.011908,5.117291
0.020000,4.811988,11.088122,0.385659,0.552420,0.027319,1.251363,5.118686
0.020000,4.816363,11.077972,0.396711,0.552608,0.009404,-0.895738,5.120087
0.020000,4.820753,11.067828,0.407764,0.552663,0.002781,-0.331172,5.121494
0.020000,4.825160,11.057684,0.418824,0.552984,0.016021,0.661983,5.122908
0.020000,4.829584,11.047539,0.429892,0.553406,0.021113,0.254611,5.124329
0.020000,4.834023,11.037399,0.440961,0.553471,0.003268,-0.892244,5.125756
0.020000,4.838478,11.027263,0.452032,0.553543,0.003581,0.015648,5.127189
0.020000,4.842952,11.017122,0.463117,0.554222,0.033959,1.518894,5.128630
0.020000,4.847442,11.006986,0.474203,0.554297,0.003753,-1.510304,5.130077
0.020000,4.851947,10.996855,0.485290,0.554377,0.003990,0.011886,5.131530
0.020000,4.856470,10.986723,0.496386,0.554776,0.019970,0.798976,5.132990
0.020000,4.861011,10.976591,0.507488,0.555141,0.018217,-0.087651,5.134458
0.020000,4.865567,10.966465,0.518593,0.555230,0.004472,-0.687230,5.135932
0.020000,4.870139,10.956343,0.529700,0.555324,0.004710,0.011875,5.137412
0.020000,4.874732,10.946216,0.540820,0.556002,0.033873,1.458152,5.138900
0.020000,4.879341,10.936093,0.551942,0.556101,0.004952,-1.446023,5.140395
0.020000,4.883965,10.925976,0.563066,0.556205,0.005189,0.011805,5.141897
0.020000,4.888608,10.915860,0.574197,0.556543,0.016935,0.587320,5.143406
0.020000,4.893270,10.905742,0.585336,0.556989,0.022281,0.267300,5.144922
0.020000,4.897948,10.895630,0.596478,0.557102,0.005664,-0.830831,5.146445
0.020000,4.902643,10.885523,0.607623,0.557220,0.005901,0.011820,5.147975
0.020000,4.907357,10.875413,0.618778,0.557754,0.026698,1.039858,5.149513
0.020000,4.912090,10.865306,0.629938,0.558017,0.013141,-0.677853,5.151058
0.020000,4.916839,10.855203,0.641101,0.558144,0.006373,-0.338410,5.152610
0.020000,4.921605,10.845106,0.652267,0.558285,0.007010,0.031860,5.154168
0.020000,4.926392,10.835004,0.663446,0.558949,0.033209,1.309949,5.155736
0.020000,4.931197,10.824907,0.674628,0.559086,0.006841,-1.318381,5.157310
0.020000,4.936018,10.814815,0.685812,0.559227,0.007076,0.011735,5.158892
0.020000,4.940858,10.804726,0.697002,0.559481,0.012690,0.280715,5.160480
0.020000,4.945719,10.794635,0.708203,0.560044,0.028134,0.772212,5.162078
0.020000,4.950597,10.784549,0.719406,0.560194,0.007540,-1.029728,5.163682
0.020000,4.955493,10.774468,0.730613,0.560350,0.007773,0.011682,5.165294
0.020000,4.960408,10.764389,0.741827,0.560669,0.015957,0.409153,5.166914
0.020000,4.965344,10.754309,0.753050,0.561178,0.025463,0.475335,5.168541
0.020000,4.970297,10.744234,0.764277,0.561343,0.008232,-0.861539,5.170177
0.020000,4.975269,10.734164,0.775508,0.561512,0.008465,0.011617,5.171820
0.020000,4.980260,10.724097,0.786744,0.561849,0.016830,0.418269,5.173470
0.020000,4.985273,10.714028,0.797992,0.562352,0.025174,0.417168,5.175130
0.020000,4.990303,10.703965,0.809242,0.562531,0.008918,-0.812762,5.176797
0.020000,4.995352,10.693907,0.820496,0.562714,0.009149,0.011541,5.178471
0.020000,5.000421,10.683852,0.831757,0.563020,0.015335,0.309298,5.180154
0.020000,5.005512,10.673796,0.843028,0.563565,0.027241,0.595284,5.181846
0.020000,5.010621,10.663745,0.854303,0.563757,0.009597,-0.882203,5.183545
0.020000,5.015750,10.653699,0.865582,0.563954,0.009826,0.011453,5.185252
0.020000,5.020897,10.643658,0.876866,0.564184,0.011498,0.083619,5.186967
0.020000,5.026068,10.633614,0.888162,0.564816,0.031637,1.006966,5.188692
0.020000,5.031258,10.623576,0.899463,0.565022,0.010267,-1.068525,5.190424
0.020000,5.036467,10.613543,0.910767,0.565232,0.010494,0.011353,5.192165
0.020000,5.041696,10.603516,0.922076,0.565446,0.010721,0.011336,5.193914
