dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.647771,17.796944,0.000625,0.062500,3.125000,156.250000,0.001228
0.020000,5.647972,17.796944,0.000826,0.010074,-2.621284,-287.314193,0.000959
0.020000,5.648375,17.796945,0.001229,0.020140,0.503275,156.227946,0.000422
0.020000,5.652550,17.796944,0.005404,0.208738,9.429894,446.330933,6.282802
0.020000,5.662678,17.796935,0.015533,0.506441,14.885177,272.764162,6.281797
0.020000,5.673482,17.796914,0.026337,0.540183,1.687106,-659.903525,6.280725
0.020000,5.684285,17.796882,0.037140,0.540154,-0.001481,-84.429353,6.279655
0.020000,5.695087,17.796838,0.047942,0.540110,-0.002189,-0.035422,6.278585
0.020000,5.705888,17.796782,0.058743,0.540066,-0.002195,-0.000312,6.277517
0.020000,5.716689,17.796715,0.069544,0.540022,-0.002202,-0.000314,6.276449
0.020000,5.727488,17.796637,0.080343,0.539978,-0.002208,-0.000316,6.275383
0.020000,5.738287,17.796547,0.091142,0.539954,-0.001200,0.050401,6.274318
0.020000,5.749085,17.796445,0.101941,0.539919,-0.001730,-0.026525,6.273253
0.020000,5.759881,17.796332,0.112738,0.539874,-0.002253,-0.026120,6.272190
0.020000,5.770677,17.796208,0.123535,0.539829,-0.002259,-0.000314,6.271128
0.020000,5.781472,17.796072,0.134330,0.539784,-0.002265,-0.000316,6.270067
0.020000,5.792266,17.795925,0.145125,0.539738,-0.002272,-0.000317,6.269007
0.020000,5.803059,17.795766,0.155919,0.539714,-0.001223,0.052439,6.267948
0.020000,5.813851,17.795596,0.166713,0.539676,-0.001905,-0.034128,6.266890
0.020000,5.824642,17.795414,0.177505,0.539629,-0.002316,-0.020520,6.265834
0.020000,5.835432,17.795221,0.188297,0.539583,-0.002322,-0.000314,6.264778
0.020000,5.846221,17.795017,0.199088,0.539536,-0.002329,-0.000316,6.263723
0.020000,5.857009,17.794801,0.209878,0.539490,-0.002335,-0.000317,6.262670
0.020000,5.867795,17.794574,0.220667,0.539464,-0.001307,0.051407,6.261618
0.020000,5.878581,17.794336,0.231455,0.539423,-0.002016,-0.035447,6.260567
0.020000,5.889366,17.794086,0.242243,0.539376,-0.002378,-0.018132,6.259517
0.020000,5.900149,17.793826,0.253029,0.539328,-0.002385,-0.000314,6.258468
0.020000,5.910931,17.793553,0.263815,0.539280,-0.002391,-0.000315,6.257420
0.020000,5.921712,17.793270,0.274600,0.539232,-0.002397,-0.000316,6.256374
0.020000,5.932492,17.792975,0.285384,0.539203,-0.001442,0.047758,6.255329
0.020000,5.943271,17.792669,0.296167,0.539162,-0.002070,-0.031391,6.254285
0.020000,5.954049,17.792352,0.306949,0.539113,-0.002440,-0.018498,6.253242
0.020000,5.964825,17.792024,0.317731,0.539064,-0.002446,-0.000312,6.252200
0.020000,5.975600,17.791684,0.328511,0.539015,-0.002452,-0.000313,6.251159
0.020000,5.986374,17.791333,0.339290,0.538966,-0.002459,-0.000315,6.250120
0.020000,5.997146,17.790971,0.350069,0.538934,-0.001620,0.041910,6.249082
0.020000,6.007918,17.790598,0.360847,0.538892,-0.002077,-0.022806,6.248045
0.020000,6.018688,17.790214,0.371624,0.538842,-0.002500,-0.021194,6.247009
0.020000,6.029456,17.789819,0.382399,0.538792,-0.002507,-0.000310,6.245975
0.020000,6.040224,17.789412,0.393174,0.538742,-0.002513,-0.000311,6.244942
0.020000,6.050989,17.788995,0.403948,0.538691,-0.002519,-0.000312,6.243910
0.020000,6.061754,17.788566,0.414721,0.538655,-0.001834,0.034253,6.242879
0.020000,6.072517,17.788127,0.425493,0.538614,-0.002044,-0.010476,6.241849
0.020000,6.083279,17.787676,0.436265,0.538563,-0.002560,-0.025824,6.240821
0.020000,6.094039,17.787214,0.447035,0.538511,-0.002566,-0.000307,6.239794
0.020000,6.104798,17.786742,0.457804,0.538460,-0.002572,-0.000307,6.238768
0.020000,6.115555,17.786258,0.468572,0.538408,-0.002578,-0.000308,6.237744
0.020000,6.126311,17.785763,0.479340,0.538367,-0.002075,0.025148,6.236721
0.020000,6.137066,17.785258,0.490106,0.538327,-0.001978,0.004874,6.235699
0.020000,6.147819,17.784741,0.500872,0.538275,-0.002618,-0.032023,6.234678
0.020000,6.158571,17.784214,0.511636,0.538222,-0.002625,-0.000302,6.233659
0.020000,6.169321,17.783676,0.522399,0.538170,-0.002631,-0.000303,6.232641
0.020000,6.180069,17.783126,0.533162,0.538117,-0.002637,-0.000304,6.231625
0.020000,6.190816,17.782566,0.543923,0.538070,-0.002338,0.014925,6.230609
0.020000,6.201561,17.781995,0.554684,0.538032,-0.001887,0.022576,6.229595
0.020000,6.212305,17.781414,0.565443,0.537979,-0.002676,-0.039455,6.228583
0.020000,6.223047,17.780821,0.576202,0.537925,-0.002682,-0.000297,6.227571
0.020000,6.233788,17.780218,0.586959,0.537872,-0.002688,-0.000298,6.226561
0.020000,6.244526,17.779603,0.597716,0.537818,-0.002694,-0.000298,6.225553
0.020000,6.255264,17.778978,0.608471,0.537765,-0.002616,0.003889,6.224545
0.020000,6.265999,17.778343,0.619226,0.537730,-0.001775,0.042017,6.223540
0.020000,6.276733,17.777696,0.629979,0.537675,-0.002732,-0.047812,6.222535
0.020000,6.287466,17.777039,0.640732,0.537620,-0.002738,-0.000292,6.221532
0.020000,6.298196,17.776371,0.651483,0.537566,-0.002743,-0.000292,6.220530
0.020000,6.308925,17.775693,0.662233,0.537511,-0.002749,-0.000292,6.219530
0.020000,6.319652,17.775004,0.672982,0.537456,-0.002755,-0.000293,6.218531
0.020000,6.330378,17.774304,0.683731,0.537417,-0.001946,0.040465,6.217533
