dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.953679,3.458611,0.000625,0.062500,3.125000,156.250000,3.368724
0.020000,18.953637,3.458602,0.000668,0.002156,-3.017224,-307.111220,3.368667
0.020000,18.953553,3.458582,0.000754,0.004310,0.107719,156.247183,3.368552
0.020000,18.952909,3.458434,0.001415,0.033037,1.436336,66.430849,3.368379
0.020000,18.943617,3.456290,0.010952,0.476826,22.189452,1037.655784,3.368164
0.020000,18.933704,3.454006,0.021124,0.508605,1.588983,-1030.023448,3.367935
0.020000,18.923791,3.451725,0.031296,0.508597,-0.000427,-79.470518,3.367705
0.020000,18.913878,3.449445,0.041468,0.508597,0.000006,0.021656,3.367476
0.020000,18.903965,3.447168,0.051639,0.508588,-0.000455,-0.023026,3.367247
0.020000,18.894051,3.444894,0.061811,0.508580,-0.000409,0.002283,3.367018
0.020000,18.884136,3.442621,0.071982,0.508579,-0.000015,0.019720,3.366789
0.020000,18.874221,3.440351,0.082154,0.508570,-0.000454,-0.021949,3.366561
0.020000,18.864306,3.438083,0.092325,0.508562,-0.000391,0.003116,3.366333
0.020000,18.854390,3.435818,0.102496,0.508562,-0.000035,0.017836,3.366104
0.020000,18.844474,3.433555,0.112667,0.508553,-0.000453,-0.020899,3.365876
0.020000,18.834558,3.431294,0.122838,0.508545,-0.000374,0.003925,3.365648
0.020000,18.824641,3.429035,0.133009,0.508544,-0.000054,0.016004,3.365420
0.020000,18.814724,3.426779,0.143180,0.508535,-0.000452,-0.019875,3.365193
0.020000,18.804806,3.424524,0.153350,0.508528,-0.000357,0.004708,3.364965
0.020000,18.794888,3.422273,0.163521,0.508526,-0.000073,0.014222,3.364738
0.020000,18.784970,3.420023,0.173691,0.508517,-0.000450,-0.018877,3.364511
0.020000,18.775051,3.417776,0.183862,0.508511,-0.000341,0.005468,3.364284
0.020000,18.765131,3.415531,0.194032,0.508509,-0.000091,0.012489,3.364057
0.020000,18.755212,3.413288,0.204202,0.508500,-0.000449,-0.017904,3.363830
0.020000,18.745292,3.411048,0.214372,0.508493,-0.000325,0.006203,3.363604
0.020000,18.735371,3.408809,0.224541,0.508491,-0.000109,0.010805,3.363378
0.020000,18.725450,3.406573,0.234711,0.508482,-0.000448,-0.016956,3.363151
0.020000,18.715529,3.404340,0.244881,0.508476,-0.000310,0.006916,3.362925
0.020000,18.705608,3.402108,0.255050,0.508473,-0.000127,0.009169,3.362699
0.020000,18.695686,3.399879,0.265219,0.508464,-0.000447,-0.016032,3.362474
0.020000,18.685763,3.397653,0.275388,0.508459,-0.000295,0.007606,3.362248
0.020000,18.675841,3.395428,0.285558,0.508456,-0.000144,0.007579,3.362023
0.020000,18.665917,3.393206,0.295727,0.508447,-0.000446,-0.015133,3.361797
0.020000,18.655994,3.390986,0.305895,0.508441,-0.000281,0.008273,3.361572
0.020000,18.646070,3.388768,0.316064,0.508438,-0.000160,0.006035,3.361347
0.020000,18.636146,3.386552,0.326233,0.508429,-0.000445,-0.014257,3.361122
0.020000,18.626221,3.384339,0.336401,0.508424,-0.000267,0.008919,3.360898
0.020000,18.616296,3.382128,0.346570,0.508420,-0.000176,0.004536,3.360673
0.020000,18.606370,3.379919,0.356738,0.508411,-0.000444,-0.013403,3.360449
0.020000,18.596445,3.377713,0.366906,0.508406,-0.000253,0.009543,3.360225
0.020000,18.586518,3.375508,0.377074,0.508402,-0.000192,0.003081,3.360001
0.020000,18.576592,3.373306,0.387242,0.508394,-0.000443,-0.012573,3.359777
0.020000,18.566665,3.371107,0.397410,0.508389,-0.000240,0.010146,3.359553
0.020000,18.556737,3.368909,0.407577,0.508385,-0.000207,0.001670,3.359330
0.020000,18.546810,3.366714,0.417745,0.508376,-0.000442,-0.011765,3.359106
0.020000,18.536882,3.364521,0.427912,0.508371,-0.000228,0.010728,3.358883
0.020000,18.526953,3.362330,0.438080,0.508367,-0.000222,0.000301,3.358660
0.020000,18.517024,3.360141,0.448247,0.508358,-0.000441,-0.010978,3.358437
