dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.615904,4.920086,0.000625,0.062500,3.125000,156.250000,3.368724
0.020000,18.615946,4.920096,0.000668,0.002156,-3.017224,-307.111220,3.368667
0.020000,18.616030,4.920115,0.000754,0.004310,0.107719,156.247183,3.368552
0.020000,18.615638,4.920024,0.001157,0.020113,0.790133,34.120663,3.368379
0.020000,18.606660,4.917954,0.010370,0.460680,22.028362,1061.911491,3.368164
0.020000,18.597083,4.915747,0.020198,0.491394,1.535730,-1024.631600,3.367935
0.020000,18.587505,4.913543,0.030026,0.491398,0.000157,-76.778651,3.367705
0.020000,18.577927,4.911340,0.039854,0.491409,0.000576,0.020938,3.367476
0.020000,18.568348,4.909140,0.049682,0.491412,0.000131,-0.022234,3.367247
0.020000,18.558769,4.906942,0.059511,0.491415,0.000176,0.002220,3.367018
0.020000,18.549189,4.904747,0.069339,0.491426,0.000557,0.019069,3.366789
0.020000,18.539608,4.902553,0.079168,0.491429,0.000133,-0.021195,3.366561
0.020000,18.530027,4.900362,0.088996,0.491433,0.000194,0.003025,3.366333
0.020000,18.520445,4.898172,0.098825,0.491444,0.000539,0.017250,3.366104
0.020000,18.510862,4.895985,0.108654,0.491446,0.000135,-0.020182,3.365876
0.020000,18.501279,4.893800,0.118483,0.491451,0.000211,0.003806,3.365648
0.020000,18.491696,4.891617,0.128313,0.491461,0.000521,0.015480,3.365420
0.020000,18.482111,4.889437,0.138142,0.491464,0.000137,-0.019194,3.365193
0.020000,18.472526,4.887258,0.147971,0.491468,0.000228,0.004563,3.364965
0.020000,18.462941,4.885082,0.157801,0.491478,0.000503,0.013759,3.364738
0.020000,18.453355,4.882908,0.167630,0.491481,0.000139,-0.018230,3.364511
0.020000,18.443768,4.880736,0.177460,0.491486,0.000245,0.005298,3.364284
0.020000,18.434180,4.878566,0.187290,0.491496,0.000487,0.012085,3.364057
0.020000,18.424592,4.876398,0.197120,0.491499,0.000141,-0.017291,3.363830
0.020000,18.415004,4.874232,0.206950,0.491504,0.000261,0.006009,3.363604
0.020000,18.405415,4.872069,0.216780,0.491513,0.000470,0.010458,3.363378
0.020000,18.395825,4.869908,0.226611,0.491516,0.000143,-0.016376,3.363151
0.020000,18.386234,4.867749,0.236441,0.491522,0.000276,0.006698,3.362925
0.020000,18.376643,4.865591,0.246272,0.491531,0.000454,0.008877,3.362699
0.020000,18.367052,4.863437,0.256102,0.491534,0.000144,-0.015485,3.362474
0.020000,18.357460,4.861284,0.265933,0.491539,0.000292,0.007366,3.362248
0.020000,18.347867,4.859133,0.275764,0.491548,0.000438,0.007340,3.362023
0.020000,18.338273,4.856985,0.285595,0.491551,0.000146,-0.014616,3.361797
0.020000,18.328679,4.854838,0.295426,0.491557,0.000306,0.008011,3.361572
0.020000,18.319085,4.852694,0.305258,0.491566,0.000423,0.005848,3.361347
0.020000,18.309490,4.850552,0.315089,0.491569,0.000148,-0.013770,3.361122
0.020000,18.299894,4.848412,0.324920,0.491575,0.000321,0.008636,3.360898
0.020000,18.290297,4.846274,0.334752,0.491583,0.000409,0.004399,3.360673
0.020000,18.280700,4.844139,0.344584,0.491586,0.000150,-0.012946,3.360449
0.020000,18.271103,4.842005,0.354416,0.491593,0.000334,0.009240,3.360225
0.020000,18.261505,4.839874,0.364248,0.491601,0.000394,0.002993,3.360001
0.020000,18.251906,4.837744,0.374080,0.491604,0.000151,-0.012144,3.359777
0.020000,18.242307,4.835617,0.383912,0.491611,0.000348,0.009824,3.359553
0.020000,18.232707,4.833492,0.393744,0.491618,0.000380,0.001628,3.359330
0.020000,18.223106,4.831369,0.403577,0.491621,0.000153,-0.011364,3.359106
0.020000,18.213505,4.829248,0.413409,0.491629,0.000361,0.010387,3.358883
0.020000,18.203903,4.827130,0.423242,0.491636,0.000367,0.000304,3.358660
0.020000,18.194301,4.825013,0.433075,0.491639,0.000155,-0.010604,3.358437
0.020000,18.184698,4.822899,0.442908,0.491647,0.000374,0.010932,3.358214
0.020000,18.175094,4.820786,0.452741,0.491654,0.000354,-0.000980,3.357992
0.020000,18.165490,4.818676,0.462574,0.491657,0.000157,-0.009865,3.357769
0.020000,18.155886,4.816568,0.472407,0.491665,0.000386,0.011457,3.357547
0.020000,18.146281,4.814462,0.482241,0.491671,0.000341,-0.002225,3.357325
0.020000,18.136675,4.812358,0.492074,0.491675,0.000158,-0.009146,3.357103
0.020000,18.127068,4.810256,0.501908,0.491682,0.000398,0.011963,3.356881
0.020000,18.117461,4.808156,0.511742,0.491689,0.000329,-0.003430,3.356659
0.020000,18.107854,4.806059,0.521576,0.491692,0.000160,-0.008447,3.356438
0.020000,18.098246,4.803963,0.531410,0.491700,0.000409,0.012451,3.356217
0.020000,18.088637,4.801870,0.541244,0.491707,0.000317,-0.004599,3.355995
0.020000,18.079028,4.799779,0.551078,0.491710,0.000162,-0.007768,3.355774
0.020000,18.069418,4.797689,0.560912,0.491718,0.000420,0.012921,3.355553
0.020000,18.059807,4.795602,0.570747,0.491725,0.000306,-0.005730,3.355333
0.020000,18.050196,4.793517,0.580581,0.491728,0.000163,-0.007107,3.355112
0.020000,18.040585,4.791434,0.590416,0.491736,0.000431,0.013374,3.354892
0.020000,18.030972,4.789354,0.600251,0.491742,0.000294,-0.006824,3.354672
0.020000,18.021360,4.787275,0.610086,0.491746,0.000165,-0.006466,3.354452
0.020000,18.011746,4.785198,0.619921,0.491754,0.000441,0.013809,3.354232
0.020000,18.002133,4.783124,0.629756,0.491760,0.000284,-0.007883,3.354012
0.020000,17.992518,4.781051,0.639591,0.491763,0.000167,-0.005842,3.353792
0.020000,17.982903,4.778981,0.649427,0.491772,0.000451,0.014227,3.353573
0.020000,17.973287,4.776912,0.659262,0.491778,0.000273,-0.008907,3.353354
0.020000,17.963671,4.774846,0.669098,0.491781,0.000168,-0.005237,3.353134
0.020000,17.954054,4.772782,0.678934,0.491791,0.000461,0.014628,3.352916
0.020000,17.944437,4.770720,0.688770,0.491796,0.000263,-0.009897,3.352697
0.020000,17.934819,4.768660,0.698606,0.491799,0.000170,-0.004649,3.352478
0.020000,17.925201,4.766602,0.708442,0.491809,0.000470,0.015013,3.352260
0.020000,17.915582,4.764546,0.718278,0.491814,0.000253,-0.010853,3.352041
0.020000,17.905962,4.762492,0.728114,0.491817,0.000172,-0.004079,3.351823
0.020000,17.896342,4.760441,0.737951,0.491827,0.000479,0.015383,3.351605
0.020000,17.886721,4.758391,0.747788,0.491832,0.000244,-0.011776,3.351387
0.020000,17.877100,4.756344,0.757624,0.491835,0.000173,-0.003525,3.351170
0.020000,17.867478,4.754298,0.767461,0.491845,0.000488,0.015736,3.350952
0.020000,17.857856,4.752255,0.777298,0.491850,0.000235,-0.012667,3.350735
0.020000,17.848233,4.750213,0.787135,0.491853,0.000175,-0.002989,3.350518
0.020000,17.838609,4.748174,0.796973,0.491863,0.000497,0.016075,3.350301
0.020000,17.828985,4.746137,0.806810,0.491867,0.000226,-0.013526,3.350084
0.020000,17.819361,4.744102,0.816647,0.491871,0.000177,-0.002468,3.349867
0.020000,17.809735,4.742069,0.826485,0.491881,0.000505,0.016398,3.349650
0.020000,17.800110,4.740038,0.836323,0.491885,0.000217,-0.014355,3.349434
0.020000,17.790483,4.738009,0.846160,0.491889,0.000178,-0.001964,3.349218
0.020000,17.780856,4.735982,0.855998,0.491899,0.000512,0.016707,3.349002
0.020000,17.771229,4.733957,0.865836,0.491903,0.000209,-0.015153,3.348786
0.020000,17.761601,4.731934,0.875675,0.491907,0.000180,-0.001475,3.348570
