dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.649612,16.296945,0.000625,0.062500,3.125000,156.250000,0.001228
0.020000,5.649410,16.296945,0.000826,0.010074,-2.621284,-287.314193,0.000959
0.020000,5.649008,16.296945,0.001229,0.020140,0.503275,156.227946,0.000422
0.020000,5.651975,16.296944,0.004196,0.148358,6.410920,295.382241,6.282802
0.020000,5.660595,16.296936,0.012817,0.431034,14.133780,386.142992,6.281797
0.020000,5.669792,16.296919,0.022014,0.459820,1.439286,-634.724675,6.280725
0.020000,5.678989,16.296891,0.031211,0.459865,0.002257,-71.851436,6.279655
0.020000,5.688187,16.296854,0.040409,0.459898,0.001679,-0.028934,6.278585
0.020000,5.697386,16.296807,0.049607,0.459932,0.001698,0.000946,6.277517
0.020000,5.706585,16.296749,0.058807,0.459967,0.001717,0.000941,6.276449
0.020000,5.715784,16.296683,0.068007,0.460001,0.001735,0.000936,6.275383
0.020000,5.724985,16.296606,0.077208,0.460054,0.002618,0.044148,6.274318
0.020000,5.734187,16.296519,0.086410,0.460097,0.002191,-0.021386,6.273253
0.020000,5.743389,16.296423,0.095612,0.460133,0.001769,-0.021059,6.272190
0.020000,5.752592,16.296317,0.104816,0.460169,0.001788,0.000924,6.271128
0.020000,5.761795,16.296201,0.114020,0.460205,0.001806,0.000919,6.270067
0.020000,5.770999,16.296076,0.123225,0.460241,0.001824,0.000913,6.269007
0.020000,5.780204,16.295940,0.132431,0.460296,0.002743,0.045907,6.267948
0.020000,5.789410,16.295795,0.141637,0.460340,0.002184,-0.027914,6.266890
0.020000,5.798616,16.295640,0.150845,0.460377,0.001858,-0.016326,6.265834
0.020000,5.807823,16.295476,0.160053,0.460414,0.001876,0.000901,6.264778
0.020000,5.817030,16.295301,0.169262,0.460452,0.001894,0.000896,6.263723
0.020000,5.826238,16.295117,0.178472,0.460491,0.001912,0.000891,6.262670
0.020000,5.835447,16.294923,0.187683,0.460547,0.002813,0.045049,6.261618
0.020000,5.844656,16.294720,0.196895,0.460591,0.002231,-0.029093,6.260567
0.020000,5.853867,16.294507,0.206108,0.460630,0.001944,-0.014328,6.259517
0.020000,5.863077,16.294284,0.215321,0.460669,0.001962,0.000878,6.258468
0.020000,5.872289,16.294051,0.224535,0.460709,0.001979,0.000873,6.257420
0.020000,5.881500,16.293809,0.233750,0.460749,0.001996,0.000868,6.256374
0.020000,5.890713,16.293557,0.242966,0.460806,0.002835,0.041952,6.255329
0.020000,5.899926,16.293296,0.252183,0.460852,0.002322,-0.025682,6.254285
0.020000,5.909140,16.293024,0.261401,0.460893,0.002028,-0.014681,6.253242
0.020000,5.918355,16.292744,0.270620,0.460934,0.002045,0.000855,6.252200
0.020000,5.927570,16.292453,0.279839,0.460975,0.002062,0.000850,6.251159
0.020000,5.936785,16.292153,0.289060,0.461016,0.002079,0.000845,6.250120
0.020000,5.946001,16.291843,0.298281,0.461073,0.002819,0.036968,6.249082
0.020000,5.955218,16.291524,0.307503,0.461122,0.002451,-0.018391,6.248045
0.020000,5.964436,16.291195,0.316727,0.461164,0.002110,-0.017029,6.247009
0.020000,5.973653,16.290857,0.325951,0.461207,0.002127,0.000832,6.245975
0.020000,5.982872,16.290509,0.335176,0.461249,0.002143,0.000827,6.244942
0.020000,5.992091,16.290152,0.344402,0.461293,0.002160,0.000822,6.243910
0.020000,6.001310,16.289785,0.353629,0.461348,0.002768,0.030425,6.242879
0.020000,6.010531,16.289408,0.362857,0.461400,0.002611,-0.007878,6.241849
0.020000,6.019752,16.289022,0.372086,0.461444,0.002190,-0.021039,6.240821
0.020000,6.028973,16.288626,0.381315,0.461488,0.002206,0.000809,6.239794
0.020000,6.038195,16.288221,0.390546,0.461533,0.002222,0.000804,6.238768
0.020000,6.047417,16.287806,0.399778,0.461577,0.002238,0.000799,6.237744
0.020000,6.056640,16.287382,0.409010,0.461631,0.002691,0.022625,6.236721
0.020000,6.065863,16.286949,0.418244,0.461687,0.002796,0.005248,6.235699
0.020000,6.075087,16.286506,0.427479,0.461732,0.002268,-0.026406,6.234678
0.020000,6.084312,16.286053,0.436714,0.461778,0.002283,0.000786,6.233659
0.020000,6.093537,16.285591,0.445951,0.461824,0.002299,0.000781,6.232641
0.020000,6.102762,16.285120,0.455188,0.461870,0.002314,0.000776,6.231625
0.020000,6.111988,16.284639,0.464426,0.461922,0.002591,0.013847,6.230609
0.020000,6.121215,16.284149,0.473666,0.461982,0.003000,0.020422,6.229595
0.020000,6.130442,16.283649,0.482907,0.462029,0.002343,-0.032845,6.228583
0.020000,6.139669,16.283140,0.492148,0.462076,0.002358,0.000763,6.227571
0.020000,6.148897,16.282622,0.501391,0.462124,0.002373,0.000758,6.226561
0.020000,6.158125,16.282094,0.510634,0.462171,0.002388,0.000753,6.225553
0.020000,6.167354,16.281557,0.519878,0.462221,0.002475,0.004348,6.224545
0.020000,6.176584,16.281010,0.529124,0.462285,0.003218,0.037129,6.223540
0.020000,6.185814,16.280454,0.538371,0.462334,0.002416,-0.040096,6.222535
0.020000,6.195044,16.279889,0.547619,0.462382,0.002431,0.000740,6.221532
0.020000,6.204275,16.279315,0.556867,0.462431,0.002446,0.000736,6.220530
0.020000,6.213506,16.278731,0.566117,0.462480,0.002460,0.000731,6.219530
0.020000,6.222738,16.278138,0.575367,0.462530,0.002475,0.000726,6.218531
